REF;ID Ticket AgID;Richiesta;Risposta;Note Integrative
128;n.a.;"Esaminando tutte le api e relativi end-point, si chiede se è necessario dividere le api in base al fruitore o se le specifiche sono state impostate in questo modo per semplificarne la lettura. Cerco di spiegarmi.
Limitandoci alle API esposte dal BackOffice, Avremmo i seguenti end-point:
bo_to_et /instance/{cui_uuid}/document/{resource_id}
bo_to_et /request_cdss
bo_to_et /request_integration
bo_to_et /retry
bo_to_et /send_conclusions
bo_to_fo /cancel_instance
bo_to_fo /instance/{cui_uuid}/document/{resource_id}
bo_to_fo /notify_receipt
bo_to_fo /retry
bo_to_fo /send_instance
bo_to_ri  /instance/{cui_uuid}/document/{resource_id}
bo_to_ri  /retry
bo_to_et, bo_to_fo e bo_to_ri devono avere hostname differenti (es. bo_to_fo.dominio.it, bo_to_et.dominio.it, bo_to_ri.dominio.it)? Oppure è possibile creare un'unica api, esposta dal back-office (bo.dominio.it) che esponga tutti gli end-point? In questo caso, l'end-point /instance/{cui_uuid}/document/{resource_id}, identico per tutti, verrebbe esposto solo una volta e richiamato poi dai vari soggetti.


Eventualmente, se tale strada non fosse percorribile o consigliabile, e quindi è necessario dividere le chiamate in base al fruitore, si chiede se è possibile mantenere un unico hostname e aggiungere un parametro (fisso) nel path del servizio, in questo modo:
bo ET/instance/{cui_uuid}/document/{resource_id}
bo ET/request_cdss
bo  ET/request_integration
bo  ET/retry
bo  ET/send_conclusions
bo  FO/cancel_instance
bo  FO/instance/{cui_uuid}/document/{resource_id}
bo  FO/notify_receipt
bo  FO/retry
bo  FO/send_instance
bo  RI/instance/{cui_uuid}/document/{resource_id}
bo  RI/retry
dove bo avrà un unico host, es. backoffice.dominio.it
Domanda che si discosta dal quesito precedente, ma ne approfitto:
/fo-portal-ref, esposto dal FrontOffice verso CU a cosa serve? Perché è messo a disposizione solo a CU? Nei parametri è previsto un codice fiscale. Di chi?";"E' necessario dividere le API in base al fruitore, ma è corretto mantenere un unico hostname per categoria di fruitore (FO,BO,ET).
Il servizio ""/fo-portal-ref"" è un servizio esposto dal Front-Office per il Comunica che restituisce l'url del portale di FO e un secretToken, Concatenando i due, si otterrà un formato del tipo foportal.it/xyz/secretToken; l’esigenza è quella di garantire l’identificazione del ComUnica quale sistema invocante la redirect al FO competente. Il codice fiscale richiesto nella response corrisponde al codice fiscale del legal person inserito anche all'interno dell'insanceDescriptor.";n.a.
129;n.a.;"Buongiorno,

le api che dovrebbero ritornare le amministrazioni competenti ritornano un 404, ""Resource not found"".

Abbiamo provato sia le API bulk che le altre:

Bulk:
/proceedings-competent-administrations/{id_proceeding_list}/{municipality_list}
/proceedings-competent-administrations/{id_proceeding_list}

No bulk:

/proceeding/{proceeding_id}/{proceeding_version}/{municipality}/competent-administration




Fino a circa una settimana fa funzionavano.

C'è un problema tecnico o stiamo sbagliando noi qualcosa?

Grazie";La presente richiesta chiede un supporto circa la fruizione di un servizio esposto dal Catalogo SSU il cui gestore risulta essere InfoCamere. Data la natura della richiesta, la invitiamo a contattare direttamente il gestore per richiedere supporto in merito alle funzionalità ed eventuali bug del sistema.;n.a.
130;n.a.;"Da quello che abbiamo capito, il catalogo fornisce per ogni componente (front, back, ente terzo) interessato nel processo il relativo riferimento telematico (es. faxksiqc-32rq-76am-lw5p-d5pausdyy8x9).

Da quel riferimento è necessario risalire ai tutti i parametri necessari per poi interrogare i servizi. E questo, soprattutto per gli Enti Terzi, andrebbe fatto in tempo reale. 

Stiamo quindi capendo come reperire tali informazioni. Infocamere ci ha confermato di utilizzare le API di interoperabilità di PDND.

Dando una prima occhiata alla documentazione (https://docs.pagopa.it/interoperabilita-1/manuale-operativo/api-esposte-da-pdnd-interoperabilita), ci sembra però che tali servizi siano disegnati per notificare eventi più che per avere informazioni di dettaglio per l'interrogazione dei servizi.




Si chiede, pertanto, se l'approccio di interrogare le api esposte da PDND è corretto e, in tal caso, se è possibile avere qualche indicazione o riferimento documentale in merito.

";"Il catalogo fornisce il riferimento telematico agli e-service esposti su PDND ottenibile consultando i seguenti path dell'OpenAPI ""catalogo-ssu_meta"":
- ET -> path ""/competent-administration/{competent_administration_ipacode}/{competent_administration_code}/{competent_administration_version}/third-party-system"" attributo ""telematic_ref""
- FO -> path ""/suap/{suap_id}/{suap_version}/frontoffice-system"" attributo ""e_service_to_bo"" per la componente di Back-office e l'attributo ""e_service_to_cu"" per la componente ComUnica
- BO -> path ""/suap/{suap_id}/{suap_version}/backoffice-system"" attributo ""e_service_to_fo"" per la componente di Front-office, ""e_service_to_et"" per la componente Ente Terzo e l'attributo ""e_service_to_ri"" per il Registro Imprese.
I parametri sopra citati servono per recuperare le informazioni necessarie per interrogare i webservice tramite le API Interoperabilità di PDND consultabili nella sezione ""Fruizione - I tuoi client API interop"".
L'unica documentazione consultabile è il manuale operativo fornito da PDND (https://docs.pagopa.it/interoperabilita-1/manuale-operativo/api-esposte-da-pdnd-interoperabilita)
";n.a.
131;n.a.;"Buongiorno,

nell'ottica di architetturare la soluzione in modo ottimale, si chiedono alcuni chiarimenti su PDND.

Abbiamo capito che l'esposizione dei servizi potrà avvenire una volta sola, per il Comune sponsor, e poi i servizi esposti potranno essere utilizzati per tutti gli altri Enti. Faccio presente che questa, che effettivamente è una comodissima forzatura, spiazza un po' il Comune sponsor che deve assumersi oneri oltre le sue competenze. Però diciamo che va bene e snellisce tutto. Forse andrebbe chiarito ufficialmente.

In merito a questo discorso avevo posto un ulteriore quesito il 28/1 (oggetto ""Chiarimento API"") per capire come poter ottimizzare l'organizzazione delle api esposte. Attendiamo risposta.




Il problema che abbiamo adesso è capire per il processo di usufruizione dei servizi come procedere. Per semplificare, supponiamo di avere solo la soluzione back-office. Per ognuno di questi dovremo chiedere, tramite piattaforma PDND, il permesso di utilizzare i vari servizi front-office ed enti-terzi. Tenendo conto di avere (solo) 100 Comuni sparsi in tutta Italia, le richieste sono davvero numerose: una per i servizi FoToBo e una per i servizi EtToBo moltiplicata per ogni Ente Terzo.

E questo è uno scenario semplificato dove abbiamo solo 100 Comuni e stiamo parlando della sola componente back-office. Nella realtà si potrà avere una combinazione arbitraria delle tre componenti.

Abbiamo inteso correttamente? E' previsto anche in questo caso un meccanismo di semplificazione?

In merito a questo aspetto, avevamo anche chiesto a Infocamere, tramite ticket, come interpretare il riferimento telematico ritornato dalle API del catalogo, e quindi come reperire su pdnd tutte le informazioni ad esso associate. Attendiamo risposta.";"La PDND prevede che ogni comune debba effettuare una richiesta di fruizione con ogni altra componente SUAP ed Ente Terzo con cui deve dialogare. Sulla base di ciò si assume corretta l'ipotesi formalizzata nella richiesta. Attualmente non siamo a conoscenza di eventuali meccanismi di semplificazione previsti dalla PDND.

Di seguito si riporta invece una delucidazione in merito al riferimento telematico presente nelle API del Catalogo.
Il catalogo fornisce il riferimento telematico agli e-service esposti su PDND ottenibile consultando i seguenti path dell'OpenAPI ""catalogo-ssu_meta"":
- ET -> path ""/competent-administration/{competent_administration_ipacode}/{competent_administration_code}/{competent_administration_version}/third-party-system"" attributo ""telematic_ref""
- FO -> path ""/suap/{suap_id}/{suap_version}/frontoffice-system"" attributo ""e_service_to_bo"" per la componente di Back-office e l'attributo ""e_service_to_cu"" per la componente ComUnica
- BO -> path ""/suap/{suap_id}/{suap_version}/backoffice-system"" attributo ""e_service_to_fo"" per la componente di Front-office, ""e_service_to_et"" per la componente Ente Terzo e l'attributo ""e_service_to_ri"" per il Registro Imprese.
I parametri sopra citati servono per recuperare le informazioni necessarie per interrogare i webservice tramite le API Interoperabilità di PDND consultabili nella sezione ""Fruizione - I tuoi client API interop"".
L'unica documentazione consultabile è il manuale operativo fornito da PDND (https://docs.pagopa.it/interoperabilita-1/manuale-operativo/api-esposte-da-pdnd-interoperabilita)
";n.a.
132;c87068a5929f466aa2ca40a91d0a0844;"Nel fare gli adeguamenti dei servizi del Gateway per il branch approved01 ho rilevato due punti su cui averi bisogno di un approfondimento:
• Caso TransferOutcomeNotifyMessage (notifica chiusura procedimento):
nella chiusura del procedimento è possibile ricevere i riferimenti del documento dell’atto di chiusura, ma il set di dati che il BO invia sono i seguenti:
o resource_id: id univoco del documento
o hash: hash del file, necessario per il recupero dal servizio del BO
o alg_hash: algoritmo di generazione dell’hash
Considerato che il servizio esposto dal BO SUAP per il recupero dei file restituisce solo il bytearray del file servirebbe sapere come ottenere il nome e il tipo del documento
• Caso CdssNotifyMessage (notifica di indizione della Cdss):
nella convocazione della Cdss è possibile ricevere il nome del file dell’atto di convocazione e il relativo mime type, di seguito i parametri in dettaglio:
o mime_type: tipologia del file
o cdss_admin_act_filename: nome del file dell’atto di convocazione
In questo caso non sono presenti i riferimenti per l’interrogazione del servizio esposto dal BO per il recupero dei documenti, quindi servirebbe sapere come ottenerli
Vi ricordo che stiamo utilizzando le due open api:
- et_to_bo.yaml
- bo_to_et.yaml";"Per quanto riguarda il primo caso di ""TransferOutcomeNotifyMessage"", il messaggio restituisce i riferimenti al documento. Il nome del file non è necessario per recuperare il documento in questione, si deve utilizzare il resource_id per l'invocazione del servizio ""/instance/{cui_uuid}/document/{resource_id}"" che richiede come parametro header ""if-match"" per verificare la correttezza dell'hash in possesso. 
Per identificare il tipo di documento, è possibile fare riferimento all'attributo ""mime_type"", presente nell'instance descriptor.

Nel secondo caso di ""CdssNotifyMessage"", nel branch approved01 è presente 'attributo ""cdss_admin_act_filename""  che non restituisce il nome del file, ma il bytestream in Base64 del file. Durante le attività del Gruppo Tecnico, le modalità di recupero del file sono state uniformate con quanto presente nelle altre operazioni delle Specifiche Tecniche, introducendo gli attributi: mime_type, resource_id, hash e alg_hash.
Tali aggiornamenti sono soggetti ad un processo di approvazione e la loro pubblicazione sarà realizzati nei modi previsti dalla norma. ";"Richiedente
Grazie per la risposta chiara. Riepilogo, comunque, la nostra interpretazione per vostra validazione.
Per lo scenario della chiusura del procedimento mi pare di capire che le informazioni del nome del file e il tipo si recuperano chiamando il catalogo ssu e cercando il match del resource_id nella lista degli allegati.

Per la convocazione della CDSS, invece, sarebbe utile sapere la tempistica dell’aggiornamento, perché al momento dobbiamo prevedere che il file arrivi direttamente nella request codificato in base64, mentre in seguito si recupererà tramite chiamata al BO SUAP come negli altri casi, quindi servirebbe capire se dobbiamo comunque partire con la prima modalità o dobbiamo attendere l’aggiornamento delle interfacce.
Parliamo di un rilascio prima del 25.07.2025? O successivo. Perchè in un precedente ticket ci era stato detto che il rilascio in produzione sarebbe avvenuto con la release Approved01.

Operatore
Le informazioni riguardanti il nome del file e il tipo si recuperano dall'instance-index trasmesso dal BO. L'associazione tra il ref presente nell'instance-index e quello presente nell'instance descriptor identifica il resource_id utilizzato nel recupero del documento.
Per quanto riguarda le tempistiche, al momento non sono previsti ulteriori modifiche ufficiali al di fuori di quelle presenti su approved01"
133;6fcfa6c118574387960e9e10c6981477;"Ho verificato delle discrepanze tra quanto presente nel PDF ""SPECIFICHE_TECNICHE_SUAP_2023"" e quanto pubblicato su GitHub.
In particolare,
- nel PDF
la lista codice errori gestiti sono 130 (Tabella 30. Lista codice errori gestiti).
i test case del tipo FO_TC_xxx sono 160.
i test case del tipo BO_TC_xxx sono 193.
i test case del tipo ET_TC_0xx sono 94.

- invece in:
https://github.com/AgID/specifiche-tecniche-DPR-160-2010/tree/approved02/specifiche_navigabili/08_e-service%20del%20SSU/08_06
la lista codice errori gestiti sono 134.
i test case del tipo FO_TC_xxx sono 93.
i test case del tipo BO_TC_xxx sono 122.
i test case del tipo ET_TC_0xx sono 58.

Quali sono dunque gli elenchi corretti?";"Nelle Specifiche Tecniche 2023 è presente un numero maggiore di test rispetto alle versioni aggiornate e alle specifiche tecniche navigabili su GitHub (branch approved01). Questo perché sono stati rimossi i test con codice errore ""50X"", al fine di semplificare il processo di verifica tecnica delle componenti informatiche FO, BO ed ET, rimuovendo i casi di errori relativi ad errori interni del sistema o di rete che sono difficilmente replicabili in fase di test.";n.a.
134;fe74f8e7c55748adbfcd76822ced35c2;"Vorrei dei chiarimenti circa i nomi indicati nella colonna ""operation"" nella ""Tabella 30. Lista codice errori gestiti"" del PDF ""SPECIFICHE_TECNICHE_SUAP_2023"", pubblicata anche in:
https://github.com/AgID/specifiche-tecniche-DPR-160-2010/blob/approved02/specifiche_navigabili/08_e-service%20del%20SSU/08_06/08_06.md

1) ""request_cui"" indica il servizio esposto dal Catalogo al FO: /request_cui ?
Per i test relativi all'ET possiamo dunque non considerarlo?

2) ""request_instance_descriptor"" indica il servizio esposto dal Catalogo: /instance_descriptor/{cui_uuid}?

3) ""request_instance_document"" indica il servizio esposto da ET e da BO: /instance/{cui_uuid}/document/{resource_id}?

4) ""request_correction"" indica il servizio esposto del Catalogo: /instance_descriptor/{cui_uuid}, dove nella reponse indica stato dell'istanza = correction_requested""?

5) ""request_integration"" indica il servizio esposto del BO: /request_integration?

6) ""request_update_times"" indica il servizio esposto dal Catalogo al BO: /update_times?
Per i test relativi all'ET possiamo dunque non considerarlo?

7) ""cancel_instance"" indica il servizio esposto del BO al FO: /cancel_instance?
Per i test relativi all'ET possiamo dunque non considerarlo?

8) ""notify_receipt"" indica il servizio esposto del BO al FO: /notify_receipt?
Per i test relativi all'ET possiamo dunque non considerarlo?";"Le varie componenti informatiche devono svolgere test differenti: 
- i test che deve svolgere il FO sono indicati nella tabella al capitolo ""8.6.1. e-service Front-office SUAP""
- i test che deve svolgere il BO sono indicati nella tabella al capitolo ""8.6.2. e-service Back-office SUAP""
- i test che deve svolgere il FO sono indicati nella tabella al capitolo ""8.6.3. e-service Enti Terzi"".
Per quanto riguarda i nomi delle operation a cui fanno riferimento sono:
1) ""request_cui"" indica il path ""/request_cui"" presente nell'OpenAPI ""catalogo-ssu_to_fo""
2) ""request_instance_descriptor"" indica il path ""/instance_descriptor/{cui_uuid}"" presente in tutte le OpenAPI esposte dal Catalogo SSU a eccezzione di ""catalogo-ssu_meta""
3) ""request_instance_document"" indica il path ""/instance/{cui_uuid}/document/{resource_id}"" presente nelle OpenAPI ""bo_to_et"", ""bo_to_fo"", ""bo_to_ri"", ""et_to_bo"", ""fo_to_bo"" e ""fo_to_cu""
4) ""request_correction"" indica il path ""/request_correction"" presente nell OpenAPI ""fo_to_bo""
5) ""request_integration"" indica il path ""/request_integration"" presente nell OpenAPI ""bo_to_et""
6) ""request_update_times"" indica il path ""/update_times"" presente nell OpenAPI ""catalogo-ssu_to_bo""
7) ""cancel_instance"" indica il path ""/cancel_instance"" presente nell OpenAPI ""bo_to_fo""
8) ""notify_receipt"" indica il path ""/notify_receipt"" presente nell OpenAPI ""bo_to_fo""";n.a.
135;32135c08fc3b44d997e7fb7d9bf32c37;"Buongiorno,
si chiede se l'approccio che è stato caldamente consigliato in questo progetto, in cui una stessa API esposta su PDND da parte di un Comune (sponsor) può poi essere utilizzata per altri Comuni, è una prassi che è possibile adottare in generale.
Noi abbiamo altre API, che esulano da questo specifico progetto, che però presenterebbero la stessa esigenza, ovvero poterla esporre su PDND senza dover fare la procedura per ogni singolo Comune. Va da sé che l'architettura multi-tenant gestisce poi il corretto instradamento delle chiamate al tenant corretto.

In caso questo non fosse possibile, si chiede secondo quale principio\norma\specifica questo è (fortunatamente) adottabile per il progetto SSU e non per altri fini.

Discorso analogo sarebbe da fare per la fruizione dei servizi. I nostri applicativi SaaS possono collegarsi, ad esempio, ad ANPR tramite PDND. Il problema è che ogni ente dovrebbe fare richiesta di accesso ai servizi ANPR. Tenendo conto che quasi nessun Ente è autonomo nel fare questo tipo di operazione, e tenendo conto che per quanto ci riguarda stiamo parlando di circa 700 Comuni, siamo dell'ordine di almeno 2 anni di attività di affiancamento da parte nostra, solo per richiedere l'accesso ad un servizio. Per non contare del costo che, inevitabilmente, dovremmo esporre alla PA per tale attività.";"Si precisa che nel contesto SUAP il concetto di sponsor asserisce all'accreditamento delle soluzioni tecnologiche (BO, FO, ET) e non l'esposizione degli e-service su PDND, in quanto questi ultimi sono realizzati dalle singole PA (comuni, Enti Terzi) che sono coinvolte nei procedimenti SUAP.
 
Relativamente alla possibilità, nel contesto SUAP, di applicare l'approccio indicato (architettura multi-tenant) tale possibilità deriva: 
- dalla presenza di accordi tra i comuni che determinano la costituzione di un soggetto giuridico con diritto di iscrizione all'IPA (registro di cui all'art. 6-ter del CAD), ad esempio un'unione di comuni;
- dalla partecipazione dei comuni alle soluzioni SUAP messe a disposizione a livello nazionale, piattaforma impresa in un giorno, o a livello regionale, piattaforma regionale.";"Richiedente
Buongiorno,
scusate ma la risposta ha messo in dubbio le uniche certezze che avevamo.
Noi avevamo capito, perché più volte ribadito e scritto, che i servizi esposti da una soluzione software adottata da più Enti dovevano essere pubblicati su PDND una sola volta, tramite il Comune sponsor. Ricordo Infocamere che diceva che altrimenti avremmo avuto migliaia di servizi esposti, con tutto quello che ne consegue.
Dalla vostra risposta mi sembra di capire, invece, che questo è valido solo per:
Comuni associati tra loro tramite accordi e che, quindi, costituiscono soggetto giuridicoContesti in cui gli Enti adottano soluzioni nazionali (Impresainungiorno o soluzioni regionali)
Quindi, tralasciando altri discorsi, vi chiedo se noi, in qualità di fornitori per centinaia di Comuni, dovremo prevedere la pubblicazione dei servizi per ogni Comune o se è confermata la possibilità di esporre su PDND una sola volta i servizi (tramite il Comune sponsor) che poi serviranno a tutti i nostri comuni.
Scusate l'insistenza ma è un aspetto chiave, sia tecnicamente che di organizzazione dei lavori.

Richiedente
il mio dubbio, che è cruciale per l'architettura di tutta la soluzione, nasce da quanto è stato detto durante gli incontri tecnici e che è riportato anche nel documento di domande\risposte inviato pochi giorni fa. Riporto qui di seguito domanda e risposta che mi sembrano in contrasto rispetto a quanto indicato in questo scambio di mail:
Domanda (16.1):
Ci confermate che ogni Comune dovrà:
Esporre sulla PDND i propri servizi Front-OfficeEsporre sulla PDND i propri servizi Back-OfficeEsporre sulla PDND i propri servizi Ente Terzo (qualora si configurasse anche come Ente Terzo)Far richiesta di accesso ai servizi Front-OfficeFar richiesta di accesso ai servizi Back-OfficeFar richiesta di accesso ai servizi Ente Terzo
Questo dovrà avvenire sempre, a prescindere dal sistema che adotterà (ImpresaInUnGiorno, soluzioni regionali, soluzioni proprietarie, ecc.)? Tenendo conto della preparazione media che gli Enti hanno sulla PDND e che, quindi, sarà inevitabile doverli seguire uno ad uno, sono previste agevolazioni sui processi di attivazione? Questo discorso vale a prescindere dal progetto contingente, il grosso freno nel concreto utilizzo dei servizi esposti su PDND risiede proprio nella prassi burocratico\amministrativa.
Risposta:
La pubblicazione degli e-service su PDND da parte della P.A. deve avvenire una sola volta per ciascuna componente informatica, e NON per ciascun Ente utilizzatore. Il meccanismo è lo stesso con riferimento alle richieste di fruizione degli e-service, che dovranno essere effettuate verso tutte le piattaforme informatiche con le quali si necessita di dover instaurare un flusso Comunicativo, a prescindere dalla specifica piattaforma utilizzata (ImpresaInUnGiorno, soluzioni regionali, soluzione proprietarie ecc.).
A titolo di esempio nel caso in cui una piattaforma esponga lo stesso end point per più Comuni dovrà effettuare la pubblicazione una sola volta. Se sono presenti soluzioni custom che espongono diversi endpoint, la pubblicazione dovrà essere ripetuta per il numero di soluzioni.
Domanda 16.2
[Tratta lo stesso argomento in maniera ancora più dettagliata]
Risposta:
Un e-service può essere pubblicato una volta per ciascuna componente informatica e non per ciascun ente. Per eventuali approfondimenti è necessario coinvolgere AgID.""
Dalle risposte si deduce che l'esposizione su PDND è fatta una sola volta per componente. Quindi se noi abbiamo un e-servizio, supponiamo BoToFo, uguale per tutti gli Enti, dovremmo esporlo una sola volta. Corretto? Ma chi lo espone, il Comune sponsor?
Bisognerebbe poi capire come gestire le richieste di fruizione: un back-office dovrebbe chiedere l'accesso agli e-service di tutti gli Enti Terzi con cui dovrà colloquiare. Quanti? Quali?
Chiedo gentilmente se non è possibile confrontarsi telefonicamente\call?
Così è ingestibile.

Operatore
Si conferma quanto indicato in precedenza:
""Si precisa che nel contesto SUAP il concetto di sponsor asserisce all'accreditamento delle soluzioni tecnologiche (BO, FO, ET) e non l'esposizione degli e-service su PDND, in quanto questi ultimi sono realizzati dalle singole PA (comuni, Enti Terzi) che sono coinvolte nei procedimenti SUAP.

Relativamente alla possibilità, nel contesto SUAP, di applicare l'approccio indicato (architettura multi-tenant) tale possibilità deriva:
- dalla presenza di accordi tra i comuni che determinano la costituzione di un soggetto giuridico con diritto di iscrizione all'IPA (registro di cui all'art. 6-ter del CAD), ad esempio un'unione di comuni;
- dalla partecipazione dei comuni alle soluzioni SUAP messe a disposizione a livello nazionale, piattaforma impresa in un giorno, o a livello regionale, piattaforma regionale"""
136;2e9996937e634f9bb9029c42d3f10757;"Sottoponiamo alla vostra cortese attenzione il quesito pervenutoci dalla software house XXX:
E' possibile avere un esempio di chiamata a e-service di FO?";"All'interno delle OpenAPI sono stati inseriti esempi per ogni operazione. Per una consultazione più agevole, consigliamo di copiare e incollare il codice OpenAPI nella sezione sinistra dell’editor disponibile a questo link: https://editor.swagger.io/
Lo Swagger permette anche di simulare una chiamata riportando un esempio come il seguente per la costruzione della Request:

curl -X 'POST' \
  'https://{{ENDPOINT}}/notify' \
  -H 'accept: */*' \
  -H 'Content-Type: application/json' \
  -H 'Authorization: Bearer JWT' \
  -H 'AgID-JWT-Signature: JWS' \
  -d '{
   ""cui"": {
    ""context"": ""SUAP"",
    ""data"": <data02>,
    ""progressivo"": ""100"",
    ""uuid"": ""80bc7d1a-10e5-11ee-be56-0242ac120003""
  },
  ""instance_descriptor_version"": ""1"",
  ""event"": ""end_by_submitter_cancel_requested""
}'

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.



";n.a.
137;371e80402c46493ba38fdb4c9e0967e7;"Sottoponiamo alla vostra cortese attenzione il quesito pervenutoci dalla software house XXX:
Potete fornirci un esempio di chiamata ""request_cui"" da FO to Catalogo SSU?";"All'interno delle OpenAPI sono stati inseriti esempi per ogni operazione. Per una consultazione più agevole, consigliamo di copiare e incollare il codice OpenAPI nella sezione sinistra dell’editor disponibile a questo link: https://editor.swagger.io/
Lo Swagger permette anche di simulare una chiamata riportando un esempio per la costruzione della Request.

Si riporta di seguito un esempio di request dell'operation request_cui:
curl -X 'POST' \
  'https://{{ENDPOINT}}/request_cui' \
  -H 'accept: application/json' \
  -H 'Content-Type: application/json' \
  -H 'Authorization: Bearer JWT' \
  -H 'AgID-JWT-Signature: JWS' \
  -d '{
  ""version"": 0,
  ""cui"": {
    ""context"": ""string"",
    ""data"": ""2025-02-20"",
    ""progressivo"": ""string"",
    ""uuid"": ""string""
  },
  ""municipality"": ""string"",
  ""legal_person"": ""string"",
  ""instance_status"": [
    {
      ""state"": ""started"",
      ""timestamp"": ""2025-02-20T13:26:31.200Z""
    }
  ],
  ""times"": {
    ""start"": ""2025-02-20"",
    ""max_gg_proc"": 0,
    ""max_gg_correction"": 0,
    ""max_gg_admissibility"": 0,
    ""max_gg_int_req"": 0,
    ""max_gg_int_resp"": 0,
    ""max_gg_concl_send"": 0,
    ""max_gg_cdss_req"": 0,
    ""date_cdss"": ""2025-02-20""
  },
  ""administrative_regime"": {
    ""id"": ""SCIA"",
    ""version"": ""string""
  },
  ""usecase_proceedings"": [
    {
      ""code"": ""string"",
      ""version"": ""string"",
      ""competent_administration"": {
        ""ipacode"": ""string"",
        ""officecode"": ""string"",
        ""version"": ""string"",
        ""description"": ""string""
      },
      ""form"": {
        ""xsd"": {
          ""code"": ""string"",
          ""version"": ""string""
        },
        ""schematron"": {
          ""code"": ""string"",
          ""version"": ""string"",
          ""phase"": [
            ""string""
          ]
        }
      },
      ""instance"": {
        ""ref"": ""string"",
        ""filename"": ""string"",
        ""hash"": ""string"",
        ""alg_hash"": ""S256"",
        ""mime_type"": ""application/xml"",
        ""activity_model"": {
          ""ref"": ""string"",
          ""filename"": ""string"",
          ""hash"": ""string"",
          ""alg_hash"": ""S256"",
          ""mime_type"": ""application/pdf""
        }
      },
      ""attachments"": [
        {
          ""ref"": ""string"",
          ""filename"": ""string"",
          ""hash"": ""string"",
          ""alg_hash"": ""S256"",
          ""form"": {
            ""xsd"": {
              ""code"": ""string"",
              ""version"": ""string""
            },
            ""schematron"": {
              ""code"": ""string"",
              ""version"": ""string"",
              ""phase"": [
                ""string""
              ]
            }
          },
          ""mime_type"": ""string""
        }
      ]
    }
  ]
}'

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.

";n.a.
